Number,State,Value,Param epsilon_decay_percentage,Param lr_begin,Param nsteps_train
122,COMPLETE,0.5,0.4,0.0005,2000
123,COMPLETE,4.0,0.4,0.0005,2000
124,COMPLETE,-0.8999999999999999,0.4,0.0005,2000
125,COMPLETE,0.5,0.4,0.0005,2000
126,COMPLETE,0.5,0.6,0.0005,2000
127,COMPLETE,4.1,0.4,0.0005,3000
128,COMPLETE,0.5,0.3,0.0005,3000
129,COMPLETE,0.5,0.6,0.0005,2000
130,COMPLETE,-0.1,1,0.001,3000
131,COMPLETE,0.5,0.5,0.0005,1000
132,COMPLETE,-0.7000000000000001,0.4,0.0005,2000
133,COMPLETE,1.4000000000000001,0.4,0.0005,2000
134,COMPLETE,-0.1,0.4,0.0005,2000
135,COMPLETE,0.5,0.4,0.0005,2000
136,COMPLETE,0.5,0.6,0.0005,3000
137,COMPLETE,4.0,0.8,0.0005,2000
138,COMPLETE,0.5,0.3,0.0005,3000
139,COMPLETE,4.1,0.6,0.0005,3000
140,COMPLETE,4.1,0.4,0.0005,2000
141,COMPLETE,4.0,0.6,0.001,2500
142,COMPLETE,0.5,0.6,0.0005,3000
143,COMPLETE,4.1,0.6,0.0005,3000
144,COMPLETE,4.1,0.6,0.0005,3000
145,COMPLETE,4.1,0.6,0.0005,3000
